method,BRISQUE,IoU,LPIPS,MSE,NIQE,PSNR,SSIM
Ordered,,0.6825783341047674,,0.15954497456550598,,7.971168708991304,0.25347856049272377
Error Diffusion,,0.676900974858902,,0.1591559499502182,,7.981771208994308,0.18169354921047648
Adaptive,,0.9044372598631806,,0.09051233530044556,,10.43292229768776,0.43441670454926085
Adaptive Preview,,0.9135450723960766,,0.004247698932886124,,23.71846272628052,0.8593662824405431
